symptom,treatment,bodypart,diagnosis,others
weakness + paralysis,immunotherapy,limbs,Guillain–Barré syndrome,post-infectious
loss of memory,medication + therapy,brain,Alzheimer’s disease,cognitive disorder
inability to focus,cognitive therapy,brain,attention deficit disorder,neuro condition
muscle weakness,corticosteroid + immunotherapy,limbs,Lambert-Eaton syndrome,paraneoplastic
weight gain with round face,hormone inhibitor,body,Cushing’s syndrome,adrenal hyperfunction
tremor and rigidity,dopamine therapy,brain,Parkinson’s disease,neurodegenerative
yellowing of skin,chelation therapy,liver,Wilson’s disease,copper accumulation
fatigue and paleness,vitamin B12 injections,blood,pernicious anemia,autoimmune gastritis
irregular heartbeat,potassium replacement,heart,hypokalemia,electrolyte imbalance
hand tremor,beta blocker,arms,essential tremor,familial tendency
loss of coordination,physiotherapy,limbs,spinocerebellar ataxia,genetic disorder
protruding eyes,antithyroid medication,neck,Graves’ disease,hyperthyroidism
enlarged hands and jaw,surgical removal of tumor,pituitary,acromegaly,growth hormone excess
purple stretch marks,hormone therapy,abdomen,Cushing’s syndrome,steroid overproduction
copper-colored ring in eyes,chelation therapy,eyes,Wilson’s disease,metabolic disorder
persistent headache,dopamine agonist,brain,pituitary adenoma,hormonal imbalance
numbness in limbs,corticosteroid,nerves,multiple sclerosis,autoimmune demyelination
dark skin tone,hormone replacement,body,Addison’s disease,adrenal insufficiency
muscle cramps,calcium supplementation,muscles,hypoparathyroidism,low calcium
abnormal facial movements,dopamine control drugs,brain,Huntington’s disease,hereditary
fatigue and dizziness,iron therapy,blood,aplastic anemia,bone marrow disorder
abdominal swelling,low-salt diet + diuretic,abdomen,ascites,liver cirrhosis
leg numbness,IV immunoglobulin,nerves,Guillain–Barré syndrome,post-viral
protruding abdomen,enzyme replacement,liver,Gaucher’s disease,metabolic storage disorder
high blood pressure,hormone suppressant,adrenal gland,Conn’s syndrome,aldosterone excess
unsteady gait,physiotherapy,legs,cerebellar ataxia,balance dysfunction
pain in joints,corticosteroid,joints,vasculitis,blood vessel inflammation
vision blurring,steroid drops,eyes,optic neuritis,multiple sclerosis
difficulty swallowing,immunotherapy,throat,myasthenia gravis,autoimmune
brittle bones,hormone therapy,skeleton,osteoporosis,calcium deficiency
loss of smell,supportive therapy,brain,Parkinson’s disease,sensory impairment
severe fatigue,hormone therapy,adrenal,Addison’s disease,chronic insufficiency
double vision,steroid therapy,eyes,neuromyelitis optica,autoimmune optic inflammation
thinning hair,hormone control,scalp,Cushing’s syndrome,cortisol excess
copper buildup symptoms,chelation therapy,liver,Wilson’s disease,rare metabolic
slow movement,dopamine therapy,brain,Parkinson’s disease,tremor-related
muscle stiffness,physical therapy,limbs,stiff person syndrome,autoimmune
severe fatigue,iron chelation,blood,sideroblastic anemia,defective hemoglobin synthesis
poor muscle tone,physiotherapy,limbs,muscular dystrophy,genetic weakness
chronic diarrhea,gluten-free diet,intestines,celiac disease,malabsorption
increased appetite,hormone inhibitor,pituitary,acromegaly,GH overproduction
loss of speech clarity,physiotherapy,face,amyotrophic lateral sclerosis,motor neuron damage
puffy face,hormone therapy,thyroid,hypothyroidism,endocrine dysfunction
droopy eyelid,steroid therapy,eyes,myasthenia gravis,neuromuscular
sensitivity to light,steroid drops,eyes,uveitis,autoimmune
difficulty walking,physiotherapy,legs,spinocerebellar ataxia,inherited
swollen joints,immunosuppressant,joints,lupus erythematosus,systemic
shaking hands,beta blocker,arms,essential tremor,benign condition
uncontrolled laughter,antidepressant,brain,pseudobulbar affect,neurological symptom
numbness in face,corticosteroid,nerves,trigeminal neuropathy,inflammation
dark pigmentation,hormone therapy,skin,Addison’s disease,adrenal dysfunction
large jaw + thick skin,surgery,pituitary,acromegaly,pituitary tumor
tingling in fingers,immunotherapy,spine,multiple sclerosis,demyelinating lesion
poor balance,physical rehabilitation,limbs,cerebellar ataxia,brain degeneration
weight loss and fatigue,hormone therapy,thyroid,Graves’ disease,autoimmune hyperthyroid
swollen hands,immunosuppressant,skin,scleroderma,connective tissue disease
burning feet,vitamin therapy,nerves,small fiber neuropathy,rare condition
tremors in hands,dopamine agonist,brain,Parkinson’s disease,degenerative
double vision,corticosteroid,eyes,myasthenia gravis,autoimmune
thickened skin,steroid cream,skin,scleroderma,collagen disorder
confusion + tremor,chelation therapy,liver,Wilson’s disease,copper buildup
fatigue after meals,dietary adjustment,pancreas,insulinoma,excess insulin secretion
dry mouth + joint pain,immunosuppressant,glands,Sjögren’s syndrome,autoimmune dryness
tingling and paralysis,IV immunoglobulin,nerves,Guillain–Barré syndrome,immune attack
memory loss,cholinesterase inhibitor,brain,Alzheimer’s disease,dementia type
hand clumsiness,dopamine therapy,brain,Parkinson’s disease,motor deficit
facial weakness,physiotherapy,face,Bell’s palsy,viral inflammation
loss of coordination,rehabilitation,brain,cerebellar ataxia,inherited
increased thirst + urination,hormone replacement,pituitary,diabetes insipidus,rare endocrine
abdominal discomfort,chelation therapy,liver,Wilson’s disease,copper storage
bone pain,calcium + vitamin D,bones,osteomalacia,vitamin D deficiency
dark skin + low pressure,steroid replacement,body,Addison’s disease,adrenal failure
chronic muscle pain,physiotherapy + rest,muscles,fibromyalgia,unknown cause
recurrent infection,immunoglobulin therapy,immune system,common variable immunodeficiency,antibody deficiency
shaky movement,dopamine,brain,Parkinson’s disease,neurodegenerative disorder
severe muscle weakness,steroid therapy,muscles,dermatomyositis,autoimmune inflammation
loss of coordination,supportive care,limbs,spinocerebellar ataxia,rare inherited
difficulty speaking,physiotherapy,mouth,ALS,motor neuron loss
metallic taste,chelation,liver,Wilson’s disease,copper excess
shortness of breath,corticosteroid + oxygen therapy,lungs,sarcoidosis,granulomatous inflammation
joint pain + rash,immunosuppressant therapy,joints,vasculitis,autoimmune vessel disease
hyperflexible joints,physiotherapy + bracing,limbs,Ehlers–Danlos syndrome,connective tissue disorder
tall stature + chest deformity,beta blocker + surgery,chest,Marfan syndrome,genetic connective tissue
vision problems,anti-inflammatory drops,eyes,uveitis,sarcoidosis manifestation
muscle fatigue,immunosuppressive therapy,muscles,polymyositis,autoimmune
chest discomfort,corticosteroid,lungs,pulmonary sarcoidosis,granuloma formation
easy bruising,platelet transfusion,blood,idiopathic thrombocytopenic purpura,immune platelet destruction
facial rash,steroid ointment,face,cutaneous lupus,autoimmune
swollen glands,corticosteroid + rest,neck,sarcoidosis,lymph node enlargement
hand tremors,dopamine therapy,brain,Wilson’s disease,copper toxicity
bone pain,calcium + vitamin D,bones,osteogenesis imperfecta,brittle bone disorder
frequent nosebleeds,supportive therapy,nose,hereditary hemorrhagic telangiectasia,fragile vessels
abdominal distension,enzyme replacement,abdomen,Gaucher’s disease,storage disorder
muscle weakness,corticosteroid + rest,limbs,dermatomyositis,inflammatory myopathy
short fingers,supportive therapy,hands,Albright’s hereditary osteodystrophy,endocrine disorder
fatigue + low blood pressure,hormone therapy,adrenal glands,Addison’s disease,adrenal failure
recurrent mouth ulcers,immunosuppressant,mouth,Behçet’s disease,vasculitic disorder
irregular heartbeat,beta blocker,heart,long QT syndrome,electrical abnormality
frequent fractures,bisphosphonate,bones,osteogenesis imperfecta,collagen defect
lung scarring,antifibrotic therapy,lungs,pulmonary fibrosis,idiopathic
abnormal gait,physiotherapy,legs,cerebellar ataxia,genetic cause
joint stiffness,steroid + DMARD,joints,scleroderma,connective tissue disease
vision loss,steroid drops,eyes,optic neuritis,autoimmune
chronic cough,corticosteroid,lungs,sarcoidosis,inflammatory granuloma
skin thickening,immunosuppressant,skin,systemic sclerosis,autoimmune fibrosis
pain in legs,physiotherapy,legs,peripheral artery disease,poor circulation
purple rash on legs,steroid therapy,skin,Henoch–Schönlein purpura,small vessel vasculitis
skin lumps,corticosteroid,skin,sarcoid nodules,granulomatous inflammation
chest pain,immunosuppressant,heart,cardiac sarcoidosis,granulomatous infiltration
muscle cramps,immunotherapy,limbs,stiff person syndrome,autoimmune
dry eyes,artificial tears,eyes,Sjögren’s syndrome,gland disorder
bluish skin color,oxygen therapy,lungs,methemoglobinemia,rare blood disorder
recurrent pneumonia,IV immunoglobulin,lungs,common variable immunodeficiency,antibody deficiency
back stiffness,physiotherapy,spine,ankylosing spondylitis,inflammatory arthritis
difficulty swallowing,immunosuppressant,throat,polymyositis,muscle inflammation
bone deformities,orthopedic correction,skeleton,Paget’s disease of bone,abnormal remodeling
sensitivity to sunlight,vitamin therapy,skin,porphyria,metabolic disorder
swollen hands,corticosteroid,skin,systemic sclerosis,autoimmune fibrosis
chest tightness,bronchodilator + steroid,lungs,eosinophilic pneumonia,allergic inflammation
muscle stiffness,muscle relaxant,limbs,stiff person syndrome,GABA deficiency
difficulty walking,physiotherapy,legs,Friedreich’s ataxia,hereditary
dry mouth,artificial saliva,mouth,Sjögren’s syndrome,autoimmune dryness
red spots on skin,steroid + antihistamine,skin,vasculitis,vessel inflammation
chronic fatigue,hormone replacement,body,Addison’s disease,endocrine disorder
brittle nails,supplement + care,nails,scleroderma,connective tissue involvement
abdominal pain,chelation therapy,liver,Wilson’s disease,copper buildup
joint pain,corticosteroid,joints,lupus erythematosus,autoimmune
leg weakness,IV immunoglobulin,limbs,Guillain–Barré syndrome,post-viral
bluish lips,oxygen therapy,lungs,pulmonary hypertension,vascular narrowing
numbness + tingling,steroid therapy,nerves,vasculitic neuropathy,autoimmune
bone pain,calcium supplement,skeleton,osteomalacia,vitamin D deficiency
vision changes,corticosteroid,eyes,optic neuritis,demyelination
loss of sensation,immunotherapy,limbs,transverse myelitis,spinal cord inflammation
joint contracture,physical therapy,hands,Dupuytren’s contracture,fibrotic condition
swollen eyes,steroid + rest,eyes,orbital pseudotumor,inflammatory lesion
fatigue + rash,steroid therapy,skin,dermatomyositis,autoimmune
red painful eyes,steroid drops,eyes,scleritis,inflammatory disorder
weak pulse in arms,immunosuppressant,arteries,Takayasu arteritis,large vessel vasculitis
pale skin,bone marrow transplant,blood,aplastic anemia,marrow failure
burning feet,vitamin therapy,nerves,small fiber neuropathy,sensory nerve damage
thickened skin,topical steroid,skin,morphea,localized scleroderma
bone tenderness,bisphosphonate,skeleton,Paget’s disease,abnormal bone turnover
night sweats,antibiotic + steroid,lungs,sarcoidosis,granulomatous
loss of coordination,physiotherapy,limbs,spinocerebellar ataxia,inherited disorder
enlarged spleen,enzyme replacement,abdomen,Gaucher’s disease,storage defect
shortness of breath,corticosteroid,lungs,hypersensitivity pneumonitis,immune reaction
dark patches on skin,hormone replacement,body,Addison’s disease,adrenal insufficiency
swelling around mouth,antihistamine,face,angioedema,allergic
numb fingertips,steroid therapy,hands,Raynaud’s phenomenon,cold-induced vasospasm
painful mouth ulcers,immunosuppressant,mouth,Behçet’s disease,vasculitis
drooping eyelid,corticosteroid,eyes,myasthenia gravis,neuromuscular
skin ulcers,immunosuppressant,legs,vasculitis,autoimmune inflammation
abnormal gait,physiotherapy,legs,cerebellar degeneration,neurodegenerative
fatigue with bone pain,calcium + vitamin D,bones,osteomalacia,deficiency disorder
chronic cough,corticosteroid + antifibrotic,lungs,sarcoidosis,granulomatous disease
skin tightening,immunosuppressant,skin,systemic sclerosis,connective-tissue disorder
recurrent fever,corticosteroid,blood,adult-onset Still’s disease,inflammatory
swelling of face,antihistamine + steroid,face,angioedema,allergic reaction
joint deformity,physiotherapy,joints,rheumatoid arthritis,autoimmune arthropathy
bluish fingers,vasodilator,hands,Raynaud’s phenomenon,cold-induced vasospasm
shortness of breath,antifibrotic therapy,lungs,idiopathic pulmonary fibrosis,chronic scarring
red patches on skin,topical steroid,skin,cutaneous lupus,autoimmune rash
chest pain,immunosuppressant,heart,myocarditis,inflammatory
chronic fatigue,hormone replacement,glands,Addison’s disease,endocrine failure
leg ulcers,wound care + steroid,legs,vasculitis,vessel inflammation
dry eyes + mouth,lubricating drops,glands,Sjögren’s syndrome,autoimmune dryness
bone pain,calcium + vit D,bones,osteomalacia,deficiency
swollen fingers,immunosuppressant,hands,scleroderma,collagen disorder
eye pain,steroid drops,eyes,uveitis,inflammatory
joint pain + rash,corticosteroid,joints,lupus erythematosus,systemic autoimmune
back stiffness,physiotherapy,spine,ankylosing spondylitis,inflammatory arthritis
unsteady gait,rehab therapy,legs,cerebellar ataxia,coordination loss
chronic diarrhea,gluten-free diet,intestines,celiac disease,malabsorption
persistent fever,antibiotic + steroid,blood,sarcoidosis,granulomatous
muscle stiffness,muscle relaxant,limbs,stiff person syndrome,autoimmune GABA defect
numb toes,vitamin supplement,feet,small-fiber neuropathy,sensory loss
dark skin,steroid replacement,body,Addison’s disease,adrenal insufficiency
joint swelling,immunotherapy,joints,Churg-Strauss syndrome,vasculitis variant
vision loss,corticosteroid,eyes,optic neuritis,demyelinating
fatigue + weight loss,hormone therapy,thyroid,Graves’ disease,autoimmune
painful ulcers in mouth,immunosuppressant,mouth,Behçet’s disease,vasculitic
breathlessness,steroid therapy,lungs,hypersensitivity pneumonitis,immune reaction
facial redness,topical steroid,face,rosacea variant,inflammatory
cold hands,vasodilator,fingers,Raynaud’s disease,circulation issue
chest tightness,bronchodilator,lungs,eosinophilic pneumonia,rare allergic
weak legs,IV immunoglobulin,limbs,Guillain–Barré syndrome,post-viral
difficulty swallowing,immunosuppressant,throat,polymyositis,myopathy
painful skin nodules,corticosteroid,skin,erythema nodosum,sarcoid feature
enlarged spleen,enzyme therapy,abdomen,Gaucher’s disease,storage defect
muscle pain,steroid therapy,muscles,dermatomyositis,autoimmune
severe tiredness,hormone replacement,body,hypopituitarism,endocrine failure
rash on legs,steroid cream,skin,leukocytoclastic vasculitis,small-vessel type
swollen ankles,diuretic + steroid,legs,nephrotic syndrome,protein loss
red painful eyes,steroid drops,eyes,scleritis,connective-tissue disease
frequent fractures,bisphosphonate,bones,osteogenesis imperfecta,collagen defect
bone tenderness,calcitonin,skeleton,Paget’s disease,remodeling defect
muscle weakness,immunotherapy,limbs,Lambert–Eaton syndrome,paraneoplastic
unsteady steps,rehab therapy,legs,Friedreich’s ataxia,hereditary
facial numbness,corticosteroid,face,trigeminal neuropathy,inflammatory
purple rash,steroid + antihistamine,skin,Henoch–Schönlein purpura,vasculitis
recurrent infection,IV immunoglobulin,immune system,CVID,antibody deficiency
swelling in neck,steroid,neck,sarcoid lymphadenopathy,granuloma
stiffness of spine,physiotherapy,spine,ankylosing spondylitis,chronic
difficulty walking,physiotherapy,legs,spinocerebellar ataxia,inherited
joint pain + ulcer,immunosuppressant,joints,Behçet’s syndrome,autoimmune
blue skin,oxygen therapy,lungs,methemoglobinemia,hemoglobin disorder
abdominal distension,enzyme therapy,liver,Gaucher’s disease,metabolic
drooping eyelids,corticosteroid,eyes,myasthenia gravis,autoimmune neuromuscular
dry skin + eyes,lubricant drops,glands,Sjögren’s syndrome,chronic dryness
pain in fingers,steroid therapy,hands,vasculitis,inflammatory
enlarged aorta,beta blocker,chest,Marfan syndrome,connective-tissue
rash after infection,corticosteroid,skin,erythema multiforme,immune reaction
sore mouth,immunosuppressant,mouth,pemphigus vulgaris,blistering disease
breath difficulty,antifibrotic agent,lungs,idiopathic fibrosis,chronic scarring
rash on hands,topical steroid,skin,dermatomyositis,autoimmune
chest pain + fatigue,steroid therapy,heart,pericarditis,inflammatory disease
weak muscles,immunosuppressant,limbs,polymyositis,autoimmune
bone swelling,bisphosphonate,skeleton,Paget’s disease,abnormal growth
stiff shoulders,physiotherapy,shoulders,polymyalgia rheumatica,inflammatory
mouth ulcers + eye pain,corticosteroid,eyes,Behçet’s disease,systemic vasculitis
tremor + imbalance,dopaminergic therapy,brain,Parkinsonism,secondary type
itchy rash,antihistamine + steroid,skin,urticarial vasculitis,immune complex reaction
pale skin,bone-marrow stimulation,blood,aplastic anemia,marrow failure
chronic joint pain,DMARD therapy,joints,rheumatoid arthritis,autoimmune
weak pulse in arms,immunosuppressant,arteries,Takayasu arteritis,large vessel vasculitis
burning in chest,antacid + steroid,chest,eosinophilic esophagitis,allergic inflammation
hard lumps under skin,steroid therapy,skin,sarcoid nodules,granulomatous
blurred vision,steroid drops,eyes,optic neuritis,demyelinating disease
cold hands + feet,vasodilator,limbs,Raynaud’s phenomenon,vascular spasm
muscle stiffness,immunotherapy,limbs,stiff person syndrome,autoimmune GABA disorder
dry mouth,saliva substitute,glands,Sjögren’s syndrome,chronic dryness
purple rash on legs,corticosteroid,skin,Henoch–Schönlein purpura,small vessel vasculitis
weakness in legs,IV immunoglobulin,nerves,Guillain–Barré syndrome,post-infectious
facial rash,steroid ointment,face,lupus erythematosus,autoimmune
chest pain,corticosteroid,lungs,sarcoidosis,granulomatous inflammation
bluish skin,oxygen therapy,lungs,methemoglobinemia,abnormal hemoglobin
back pain,physiotherapy,spine,ankylosing spondylitis,chronic inflammation
joint swelling,immunosuppressant,joints,vasculitis,inflammatory disorder
fatigue,hormone replacement,glands,Addison’s disease,adrenal failure
thickened skin,immunotherapy,skin,scleroderma,connective tissue fibrosis
numb hands,physiotherapy,hands,peripheral neuropathy,autoimmune origin
abdominal fullness,enzyme replacement,liver,Gaucher’s disease,metabolic storage
shortness of breath,antifibrotic + oxygen,lungs,pulmonary fibrosis,idiopathic
vision blurring,steroid drops,eyes,uveitis,sarcoid manifestation
red eyes,anti-inflammatory drops,eyes,scleritis,connective-tissue inflammation
joint stiffness,DMARD + steroid,joints,rheumatoid arthritis,autoimmune
dry eyes,lubricating drops,eyes,Sjögren’s syndrome,gland dysfunction
dizziness,salt tablet + therapy,heart,POTS,autonomic disorder
swelling in legs,diuretic + steroid,legs,nephrotic syndrome,protein loss
facial weakness,physiotherapy,face,Bell’s palsy,viral neuropathy
rash on arms,topical steroid,skin,dermatomyositis,inflammatory myopathy
chest tightness,immunosuppressant,lungs,hypersensitivity pneumonitis,immune response
weak grip,physiotherapy,hands,myasthenia gravis,neuromuscular
recurring ulcers,corticosteroid,mouth,Behçet’s disease,systemic vasculitis
numb legs,steroid + IVIg,spine,transverse myelitis,spinal cord inflammation
bone pain,vitamin D + calcium,skeleton,osteomalacia,deficiency
rash after sunlight,steroid cream,skin,lupus photosensitivity,autoimmune
tremor,dopamine agonist,brain,Parkinson’s disease,neurodegenerative
loss of coordination,rehabilitation,limbs,cerebellar ataxia,inherited
burning eyes,lubricating drops,eyes,keratoconjunctivitis sicca,dryness disorder
enlarged liver,enzyme therapy,abdomen,Gaucher’s disease,lysosomal storage
difficulty swallowing,immunotherapy,throat,polymyositis,muscle inflammation
unsteady walk,physiotherapy,legs,Friedreich’s ataxia,hereditary neuropathy
chronic cough,corticosteroid,lungs,sarcoidosis,granulomatous inflammation
muscle pain,steroid therapy,muscles,dermatomyositis,autoimmune
rash with fever,corticosteroid,skin,adult-onset Still’s disease,inflammatory
weak voice,physiotherapy,throat,ALS,motor neuron degeneration
cold fingertips,vasodilator,hands,Raynaud’s disease,vascular spasm
eye pain,corticosteroid drops,eyes,optic neuritis,demyelinating
breathlessness,bronchodilator + steroid,lungs,eosinophilic pneumonia,allergic
fatigue,thyroid replacement,glands,Hashimoto’s thyroiditis,autoimmune
skin thickening,topical therapy,skin,morphea,localized scleroderma
joint pain,immunosuppressant,joints,vasculitis,autoimmune
bone tenderness,bisphosphonate,skeleton,Paget’s disease,abnormal remodeling
abnormal gait,physiotherapy,legs,spinocerebellar ataxia,hereditary
loss of balance,neurorehab,brain,cerebellar degeneration,degenerative
short fingers,supportive care,hands,Albright’s osteodystrophy,endocrine
weight loss,hormone therapy,thyroid,Graves’ disease,hyperthyroidism
brittle nails,moisturizers + supplements,nails,scleroderma,connective tissue
drooping eyelid,corticosteroid,eyes,myasthenia gravis,autoimmune
red nodules,steroid therapy,skin,erythema nodosum,sarcoidosis
low blood pressure,hormone therapy,adrenal,Addison’s disease,adrenal crisis
stiff joints,physiotherapy,joints,polymyalgia rheumatica,inflammatory
blue lips,oxygen therapy,lungs,pulmonary hypertension,vascular disorder
pale skin,bone-marrow stimulant,blood,aplastic anemia,marrow suppression
swelling in hands,immunosuppressant,skin,lupus panniculitis,connective-tissue
hair loss patches,corticosteroid,scalp,alopecia areata,autoimmune
abdominal pain,chelation therapy,liver,Wilson’s disease,copper accumulation
vision loss,immunotherapy,eyes,neuromyelitis optica,autoimmune
frequent nosebleeds,cauterization,nose,hereditary hemorrhagic telangiectasia,fragile vessels
numb feet,vitamin therapy,nerves,small-fiber neuropathy,sensory nerve loss
weakness after illness,IVIg,limbs,Guillain–Barré syndrome,post-infectious
irregular heartbeat,beta blocker,heart,long QT syndrome,electrical abnormality
sun-sensitive rash,steroid ointment,skin,subacute cutaneous lupus,autoimmune
thickened fingers,steroid + moisturizer,hands,scleroderma,fibrosis
stiff neck,physiotherapy,neck,ankylosing spondylitis,spinal inflammation
rash with joint pain,immunotherapy,joints,lupus erythematosus,autoimmune
recurring fever,corticosteroid,body,sarcoidosis,inflammatory granuloma
numbness + vision loss,corticosteroid,nerves,multiple sclerosis,demyelinating
facial twitching,anticonvulsant,face,hemifacial spasm,nerve irritation
poor coordination,rehab therapy,legs,cerebellar ataxia,degenerative
breathing difficulty,steroid + oxygen,lungs,pulmonary sarcoidosis,granuloma
chest pain,immunotherapy,heart,myocarditis,inflammatory disorder
red eye + headache,steroid drops,eyes,scleritis,connective tissue
weak muscles,corticosteroid,limbs,polymyositis,autoimmune inflammation
